03:01:09:004 [ALWAYS]	GUDE Logging Started
03:01:09:005 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
03:01:09:005 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
03:01:09:005 [ERROR]	Initialize resume cache pointer failure
03:01:09:005 [INFO]	gude policy POLICY_USER limit (2,2,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 0, timeout 86400 
03:01:09:005 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
03:01:10:740 [WARN]	Ignoring attempt to reinit logging to \gude at level 4 retaining 3 days of logs
03:01:10:740 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
03:01:10:740 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
03:01:10:740 [ERROR]	Initialize resume cache pointer failure
03:01:10:740 [INFO]	gude policy POLICY_USER limit (4,4,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 1, timeout 86400 
03:01:10:740 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
